timestamp,method,endpoint,status_code,latency_ms,api_key_hash
2025-08-22 05:23:20,POST,/v1/charges,200,66,sk_live_ixNcF8tfDHidkQAauwqF
2025-08-26 22:18:30,GET,/v1/tokens,500,334,sk_live_V573wdClMz6gFyUDz3AJ
2025-08-19 18:20:17,GET,/v1/charges/{id},503,91,sk_live_tRCtGPnYrNJwBhLDWLoq
2025-08-19 13:08:03,GET,/v1/merchants,200,58,sk_live_xR6PwXCY2Vk9f04LKgkE
2025-08-27 13:51:24,GET,/v1/tokens,500,47,sk_live_L0g6pzItvaNVhwz24Hzt
2025-08-25 23:41:34,PUT,/v1/chargebacks,403,65,sk_live_BvK8bo8jgfoHsIiBPrIW
2025-08-20 09:27:35,GET,/v1/chargebacks,200,217,sk_live_GvwlqlC5d2p43vIAKDJa
2025-08-20 16:11:11,POST,/v1/refunds,200,21,sk_live_g3NXWmTAyWdF5YF69qmx
2025-08-22 15:00:13,GET,/v1/charges/{id},200,225,sk_live_0MlbuMfSsU40gETPVQ7U
2025-08-19 17:21:58,POST,/v1/payouts,200,159,sk_live_sF0n7ecWdUaXIz0CH3Km
2025-08-27 20:34:09,GET,/v1/merchants,502,196,sk_live_oCnDhtRB0DNrqs2g17VJ
2025-08-26 16:12:11,GET,/v1/payouts,503,186,sk_live_DjSkVqAAXyXhcPKOt2O2
2025-08-21 07:48:27,POST,/v1/refunds,200,174,sk_live_TsXXV2MyAP4a4gyZJWBB
2025-08-26 20:01:49,GET,/v1/payouts,200,132,sk_live_L3D4rml7yMyVpljLljQ5
2025-08-25 17:28:41,GET,/v1/charges,400,39,sk_live_dM75jHKiGn4sZzBnj63J
2025-08-28 23:04:52,POST,/v1/refunds,200,98,sk_live_tX2bfyAZaHoGm6QCQfQ1
2025-08-27 12:28:27,GET,/v1/charges,200,162,sk_live_LrDsn8tmcB5z6lt8oo2e
2025-08-21 12:05:40,POST,/v1/chargebacks,200,62,sk_live_M6R3FMvQwC4kUa27qMiN
2025-08-22 20:57:31,PUT,/v1/charges,200,122,sk_live_RPpS3s1EzmMIU5mUFBN4
2025-08-22 22:18:33,GET,/v1/merchants,200,136,sk_live_wOeQbYmK1h41f3xQFm5F
